FID,Status,Score,Match_addr,City,Region,Postal,Addr_type,StreetID,X,Y,ARC_Street,ARC_City,Field1,Name,Address,City2,City1,State,Phone_Numb
3,U,0,,,,,,,-84.229023,39.037029,219 Ohio Pke,Batavia Township,253,GOLD STAR CHILI,219 Ohio Pke,Amelia,Batavia Township,OH,513-753-4471
4,U,0,,,,,,,-84.229767,39.036538,200 Main,Amelia,110,WENDYS COMPANY THE,200 Main,Amelia,Amelia,OH,513-752-1292
7,U,0,,,,,,,-84.091259,38.964669,625 Plane,Bethel,12,MCDONALDS,625 Plane,Bethel,Bethel,OH,513-427-9066
8,U,0,,,,,,,-84.090698,38.964638,621 Plane,Bethel,91,WENDYS OLD FASHIONED HAMBURGERS,621 Plane,Bethel,Bethel,OH,513-734-0794
10,U,0,,,,,,,-84.394042,39.22834,9270 Plainfld Rd,Blue Ash,342,TACO BELL,9270 Plainfld Rd,Blue Ash,Blue Ash,OH,513-984-8390
11,U,0,,,,,,,-84.393163,39.225215,9124 Plainfld Rd,Blue Ash,246,GOLD STAR CHILI,9124 Plainfld Rd,Blue Ash,Blue Ash,OH,513-891-7432
19,U,0,,,,,,,-84.37631,39.233037,9648 Kenwd Rd,Blue Ash,128,STARBUCKS COFFEE,9648 Kenwd Rd,Blue Ash,Blue Ash,OH,513-791-5224
20,U,0,,,,,,,-84.476671,39.197449,7400 Vine,Carthage,230,WHITE CASTLE SYSTEM INCORPORATED,7400 Vine,Carthage,Carthage,OH,513-948-1171
21,U,0,,,,,,,-84.198142,39.844757,3410 York Commons Blvd,Butler Twp,352,TACO BELL,3410 York Commons Blvd,Butler Twp,Butler Twp,OH,937-890-2580
30,U,0,,,,,,,-84.51714,39.100036,250 5th,Cincinnati,310,SUBWAY SANDWICHES SALADS,250 5th,Cincinnati,Downtown Cincinnati,OH,513-381-4108
35,U,0,,,,,,,-84.516945,39.215663,875 W Galbrth Rd,Cincinnati,299,SUBWAY SALADS,875 W Galbrth Rd,Cincinnati,Finneytown,OH,513-521-8700
37,U,0,,,,,,,-84.574476,39.113222,3738 Warwaw Av,Cincinnati,17,MCDONALDS,3738 Warwaw Av,Cincinnati,Price Hill,OH,513-471-2893
49,U,0,,,,,,,-84.512777,39.104249,34 7,Cincinnati,271,SUBWAY,34 7,Cincinnati,Downtown Cincinnati,OH,513-421-1113
76,U,0,,,,,,,-84.265692,39.09689,874 Eastgate Dr,Cincinnati,60,CHICK FIL A OF EASTGATE,874 Eastgate Dr,Cincinnati,Gleneste,OH,513-752-0223
79,U,0,,,,,,,-84.519125,39.216476,912 Galbrth Rd,Cincinnati,65,BROWNSWAY WENDYS,912 Galbrth Rd,Cincinnati,Finneytown,OH,513-827-9238
84,U,0,,,,,,,-84.490056,39.12744,855 Wilm Howard Taft Rd,Cincinnati,69,WENDYS,855 Wilm Howard Taft Rd,Cincinnati,Walnut Hills,OH,513-221-4534
116,U,0,,,,,,,-84.519474,39.128237,202 McMillan,Cincinnati,117,STARBUCKS COFFEE,202 McMillan,Cincinnati,Clifton Heights,OH,513-241-7015
128,U,0,,,,,,,-84.498558,39.128764,Reading & Wm Howard Taft Rds,Cincinnati,231,WHITE CASTLE SYSTEM INCORPORATED,Reading & Wm Howard Taft Rds,Cincinnati,Avondale,OH,513-961-2426
137,U,0,,,,,,,-84.263453,39.094367,Rt 32 Eastgate South Dr,Cincinnati,224,WHITE CASTLE SYSTEM INCORPORATED,Rt 32 Eastgate South Dr,Cincinnati,Summerside,OH,513-753-4474
141,U,0,,,,,,,-84.539414,39.158524,Spring Grove & Hamltn Avs,Cincinnati,219,WHITE CASTLE SYSTEM INCORPORATED,Spring Grove & Hamltn Avs,Cincinnati,Northside,OH,513-542-7291
144,U,0,,,,,,,-84.302599,39.069752,4010 Wilms Dr,Cincinnati,218,WHITE CASTLE SYSTEM INCORPORATED,4010 Wilms Dr,Cincinnati,Cherry Grove,OH,513-528-0266
162,U,0,,,,,,,-84.399466,39.208371,4081 Galbrth Rd,Deer Park,292,SUBWAY,4081 Galbrth Rd,Cincinnati,Deer Park,OH,513-984-8471
208,U,0,,,,,,,-84.563428,39.279299,11020 Hamltn Av,Forest Park,339,TACO BELL,11020 Hamltn Av,Forest Park,Forest Park,OH,513-825-3179
209,U,0,,,,,,,-84.52155,39.30257,350 Cinti Mills Dr,Forest Park,368,CHIPOTLE MEXICAN GRILL,350 Cinti Mills Dr,Forest Park,Forest Park,OH,513-671-3000
213,U,0,,,,,,,-84.190037,39.221854,1602 State Rt 28,Goshen Township,262,GREATER CINCINNATI SUBWAY,1602 State Rt 28,Goshen Township,Goshen Township,OH,513-722-3900
214,U,0,,,,,,,-84.610027,39.406894,1420 Millvl Av,Hamilton,5,MCDONALDS,1420 Millvl Av,Hamilton,Hamilton,OH,513-330-5287
223,U,0,,,,,,,-84.588977,39.421552,32 North Brookwd Av,Hamilton,103,WENDYS OLD FASHIONED HAMBURGERS,32 North Brookwd Av,Hamilton,Hamilton,OH,513-863-8122
230,U,0,,,,,,,-84.217935,39.339445,17 US Rt 22,Hamilton Township Ext Terr,238,GOLD STAR CHILI,17 US Rt 22,Hamilton Township Ext Terr,Hamilton Township Ext Terr,OH,513-677-0842
238,U,0,,,,,,,-84.473971,39.211182,8240 Vine,Hartwell,97,WENDYS OLD FASHIONED HAMBURGERS,8240 Vine,Hartwell,Hartwell,OH,513-821-3038
239,U,0,,,,,,,-84.220919,39.804475,4206 Main St,Harrison Twp,345,TACO BELL,4206 Main St,Harrison Twp,Harrison Twp,OH,937-278-3901
240,U,0,,,,,,,-84.225614,39.809806,4645 Main St,Harrison Twp,166,KENTUCKY FRIED CHICKEN,4645 Main St,Harrison Twp,Harrison Twp,OH,937-274-3480
241,U,0,,,,,,,-84.472879,39.212348,21 Galbrth Rd,Hartwell,259,GOLD STAR CHILI INCORPORATED,21 Galbrth Rd,Hartwell,Hartwell,OH,513-761-8633
242,U,0,,,,,,,-84.218379,39.346653,54 Grandin Rd,Hopkinsville,72,WENDYS,54 Grandin Rd,Hopkinsville,Hopkinsville,OH,513-583-5971
243,U,0,,,,,,,-84.370543,39.204245,8016 Hosbrk Rd,Kenwood,281,SUBWAY,8016 Hosbrk Rd,Kenwood,Kenwood,OH,513-745-0899
246,U,0,,,,,,,-84.381106,39.196581,7289 Kenwd Rd,Kenwood,106,WENDYS OLD FASHIONED HAMBURGERS,7289 Kenwd Rd,Kenwood,Kenwood,OH,513-984-2251
251,U,0,,,,,,,-84.205041,39.451295,2930 U S Route 22,Landen,28,MCDONALDS,2930 U S Route 22,Landen,Landen,OH,513-677-9504
254,U,0,,,,,,,-84.205031,39.451287,915 Broadway,Lebanon,302,SUBWAY SANDWICHES SALADS,915 Broadway,Lebanon,Lebanon,OH,513-228-0691
255,U,0,,,,,,,-84.19438,39.432243,615 Main,Lebanon,178,ARBYS ROAST BEEF,615 Main,Lebanon,Lebanon,OH,513-932-9608
256,U,0,,,,,,,-84.382594,39.371947,7132 Cincinnati Dayton Rd,Liberty Township,301,SUBWAY SANDWICH SHOP W CHSTR,7132 Cincinnati Dayton Rd,Liberty Township,Liberty Township,OH,513-779-7730
257,U,0,,,,,,,-84.378664,39.378903,6819 Liberty Plaza Dr,Liberty Township,121,STARBUCKS COFFEE,6819 Liberty Plaza Dr,Liberty Township,Liberty Township,OH,513-759-1951
258,U,0,,,,,,,-84.509466,39.102664,550 Main,Lebanon,160,KFC,550 Main,Lebanon,Lebanon,OH,513-932-1888
259,U,0,,,,,,,-84.377795,39.377906,6876 Cincinnati Dayton Rd,Liberty Township,373,CHIPOTLE MEXICAN GRILL,6876 Cincinnati Dayton Rd,Liberty Township,Liberty Township,OH,513-755-1630
260,U,0,,,,,,,-84.378028,39.376643,7387 Liberty Dr,Liberty Township,149,BURGER KING,7387 Liberty Dr,Liberty Township,Liberty Township,OH,513-779-5100
261,U,0,,,,,,,-84.472944,39.416645,4271 Hamltn-Midltwn Rd,Liberty Township,251,GOLD STAR CHILI,4271 Hamltn-Midltwn Rd,Liberty Township,Liberty Township,OH,513-868-9715
262,U,0,,,,,,,-84.36988,39.371733,7100 Foundry Row,Liberty Township,390,FIVE GUYS BURGERS FRIES,7100 Foundry Row,Liberty Township,Liberty Township,OH,513-779-0058
265,U,0,,,,,,,-84.420656,39.113041,650 Lunken Park Dr,Linwood,245,GOLD STAR CHILI,650 Lunken Park Dr,Linwood,Linwood,OH,513-624-7539
267,U,0,,,,,,,-84.657823,39.153078,6391 Bridgetown Rd,Mack,276,SUBWAY,6391 Bridgetown Rd,Mack,Mack,OH,513-598-6075
269,U,0,,,,,,,-84.363458,39.188634,"Madeira Crossing, 7011 Miami Av",Madeira,129,STARBUCKS COFFEE,"Madeira Crossing, 7011 Miami Av",Madeira,Madeira,OH,513-271-6338
270,U,0,,,,,,,-84.405424,39.158216,4786 Red Bank Exprswy,Madisonville,307,SUBWAY SANDWICHES SALADS,4786 Red Bank Exprswy,Madisonville,Madisonville,OH,513-272-8333
271,U,0,,,,,,,-84.40623,39.158072,4795 Red Bank Rd,Madisonville,232,GOLD STAR CHILI,4795 Red Bank Rd,Madisonville,Madisonville,OH,513-271-0020
274,U,0,,,,,,,-84.283934,39.303738,9147 Lighthse Way,Mason,264,LANDEN SUBWAY SANDWICHES SALADS,9147 Lighthse Way,Mason,Deerfld Twp,OH,513-697-7107
276,U,0,,,,,,,-84.319236,39.311901,5303 Bowen Dr,Mason,266,SUBWAY,5303 Bowen Dr,Mason,Deerfield Township,OH,513-234-0944
279,U,0,,,,,,,-84.29733,39.292959,3988 W U S Route 22,Mason,88,WENDYS OLD FASHIONED HAMBURGERS,3988 W U S Route 22,Mason,Deerfld Twp,OH,513-677-1890
280,U,0,,,,,,,-84.258483,39.228973,784 Loveland Miamiville Rd,Miami Township,279,SUBWAY,784 Loveland Miamiville Rd,Miami Township,Miami Township,OH,513-683-7600
281,U,0,,,,,,,-84.28082,39.223376,471 Wards Corner Rd,Miami Township,261,GOLD STAR CHILI,471 Wards Corner Rd,Miami Township,Miami Township,OH,513-831-1725
288,U,0,,,,,,,-84.260095,39.187932,5697 Romar Dr,Milford,379,CHIPOTLE MEXICAN GRILL,5697 Romar Dr,Milford,Mulberry,OH,513-965-8666
289,U,0,,,,,,,-84.257882,39.18789,5700 Romar Dr,Milford,54,CHICK FIL A,5700 Romar Dr,Milford,Mulberry,OH,513-248-0690
301,U,0,,,,,,,-84.285028,38.966095,1048 Old U S 52,New Richmond,236,GOLD STAR CHILI,1048 Old U S 52,New Richmond,New Richmond,OH,513-553-2536
305,U,0,,,,,,,-84.506562,39.161947,64 Mitchl Av,North Avondale,207,WHITE CASTLE,64 Mitchl Av,North Avondale,North Avondale,OH,513-641-4000
307,U,0,,,,,,,-84.546015,39.21737,1555 Galbrth Rd,North College Hill,153,BURGER KING,1555 Galbrth Rd,North College Hill,North College Hill,OH,513-931-3931
313,U,0,,,,,,,-84.443132,39.147644,"Rookwood Pavilion, 2692 Madsn Rd",Norwood,133,STARBUCKS COFFEE,"Rookwood Pavilion, 2692 Madsn Rd",Norwood,Norwood,OH,513-631-3329
314,U,0,,,,,,,-84.360364,39.141346,7431 Wooster Pike,Plainville,305,SUBWAY SANDWICHES SALADS,7431 Wooster Pike,Plainville,Plainville,OH,513-271-6444
315,U,0,,,,,,,-84.362917,39.142759,7337 Wooster Pike,Plainville,4,MCDONALDS,7337 Wooster Pike,Plainville,Plainville,OH,513-272-2124
316,U,0,,,,,,,-84.529062,39.103093,811 8th,Queensgate,214,WHITE CASTLE SYSTEM INCORPORATED,811 8th,Queensgate,Queensgate,OH,513-381-2300
323,U,0,,,,,,,-84.637019,39.323258,3790 Hamltn-Cleves Rd,Ross Township,257,GOLD STAR CHILI,3790 Hamltn-Cleves Rd,Ross Township,Ross Township,OH,513-738-3338
325,U,0,,,,,,,-84.706845,39.130832,55 Kibby Ln,Sayler Park,16,MCDONALDS,55 Kibby Ln,Sayler Park,Sayler Park,OH,513-467-9016
336,U,0,,,,,,,-84.485634,39.285915,11551 Springfld Pke,Springdale,260,GOLD STAR CHILI SPRINGDALE,11551 Springfld Pke,Springdale,Springdale,OH,513-834-5531
339,U,0,,,,,,,-84.485569,39.286578,11575 Springfld Pike,Springdale,209,WHITE CASTLE,11575 Springfld Pike,Springdale,Springdale,OH,513-771-4355
344,U,0,,,,,,,-84.340877,39.258488,10748 Montgmry Rd,Sycamore Township,19,MCDONALDS,10748 Montgmry Rd,Sycamore Township,Sycamore Township,OH,513-489-5374
345,U,0,,,,,,,-84.313406,39.292336,8969 Fields-Ertel Rd,Symmes Township,30,MCDONALDS,8969 Fields-Ertel Rd,Symmes Township,Symmes Township,OH,513-683-9667
346,U,0,,,,,,,-84.327944,39.27253,11379 Montgomry Rd,Symmes Township,131,STARBUCKS COFFEE,11379 Montgomry Rd,Symmes Township,Symmes Township,OH,513-469-1111
347,U,0,,,,,,,-84.310618,39.292374,9067 Fields-Ertel Rd,Symmes Township,334,TACO BELL,9067 Fields-Ertel Rd,Symmes Township,Symmes Township,OH,513-583-0043
348,U,0,,,,,,,-84.312819,39.292458,Fields-Ertel Rd & I-71,Symmes Township,223,WHITE CASTLE SYSTEM INCORPORATED,Fields-Ertel Rd & I-71,Symmes Township,Symmes Township,OH,513-683-2890
349,U,0,,,,,,,-84.296114,39.249414,10500 Loveland Madeira Rd,Symmes Township,263,GREATER CINCINNATI SUBWAY LLC,10500 Loveland Madeira Rd,Symmes Township,Symmes Township,OH,513-677-5153
350,U,0,,,,,,,-84.29437,39.254014,10660 Loveland Madeira Rd,Symmes Township,192,ARBYS ROAST BEEF RESTAURANTS,10660 Loveland Madeira Rd,Symmes Township,Symmes Township,OH,513-683-4508
351,U,0,,,,,,,-84.296028,39.25157,10558 Loveland Madeira Rd,Symmes Township,148,BURGER KING,10558 Loveland Madeira Rd,Symmes Township,Symmes Township,OH,513-774-9955
352,U,0,,,,,,,-84.314223,39.292497,8955 Fields-Ertel Rd,Symmes Township,193,ARBYS ROAST BEEF RESTAURANTS,8955 Fields-Ertel Rd,Symmes Township,Symmes Township,OH,513-683-9637
353,U,0,,,,,,,-84.15949,39.661568,5837 Far Hills Av,Washington Twp,346,TACO BELL,5837 Far Hills Av,Washington Twp,Washington Twp,OH,937-291-0858
354,U,0,,,,,,,-84.159997,39.609679,9300 Dayton Lebanon Pike,Washington Twp,348,TACO BELL,9300 Dayton Lebanon Pike,Washington Twp,Washington Twp,OH,937-428-0556
356,U,0,,,,,,,-84.371358,39.353947,7425 Tylrsvl Rd,West Chester,52,JACK IN THE BOX,7425 Tylrsvl Rd,West Chester,West Chester,OH,513-755-3000
358,U,0,,,,,,,-84.461862,39.361804,4747 Tylrsvl Rd,West Chester,116,STARBUCKS,4747 Tylrsvl Rd,West Chester,West Chester,OH,513-860-1341
370,U,0,,,,,,,-84.368479,39.354296,7679 Doc Dr,West Chester,39,MCDONALDS,7679 Doc Dr,West Chester,West Chester,OH,513-777-0008
371,U,0,,,,,,,-84.430438,39.321907,5909 Muhlhauser Rd,West Chester,104,WENDYS OLD FASHIONED HAMBURGERS,5909 Muhlhauser Rd,West Chester,West Chester,OH,513-874-3134
376,U,0,,,,,,,-84.429763,39.322625,6031 Muhlhauser Rd,West Chester,155,BURGER KING,6031 Muhlhauser Rd,West Chester,West Chester,OH,513-942-7845
381,U,0,,,,,,,-84.37161,39.369073,7602 Trailside Dr,West Chester,58,CHICK FIL A LIBERTY WAY,7602 Trailside Dr,West Chester,West Chester,OH,513-777-0200
382,U,0,,,,,,,-84.528183,39.108933,1301 Linn,West End,313,RICHIES FAST FOOD RESTAURANT,1301 Linn,West End,West End,OH,513-241-1876
383,U,0,,,,,,,-84.759642,39.174257,4175 Hamilton Cleves Rd,Whitewater Twp,233,GOLD STAR CHILI,4175 Hamilton Cleves Rd,Whitewater Twp,Whitewater Twp,OH,513-353-0709
384,U,0,,,,,,,-84.759782,39.173999,4153 Hamilton Cleves Rd,Whitewater Twp,269,SUBWAY,4153 Hamilton Cleves Rd,Whitewater Twp,Whitewater Twp,OH,513-353-4555
385,U,0,,,,,,,-84.249075,39.089818,1146 Marian Dr,Willowville,105,WENDYS OLD FASHIONED HAMBURGERS,1146 Marian Dr,Willowville,Willowville,OH,513-947-1111
386,U,0,,,,,,,-84.512895,39.165187,255 W Mitchl Av,Winton Place,29,MCDONALDS,255 W Mitchl Av,Winton Place,Winton Place,OH,513-681-9650
387,U,0,,,,,,,-84.470054,39.26074,10601 Springfld Pike,Woodlawn,173,POPEYES CHICKEN,10601 Springfld Pike,Woodlawn,Woodlawn,OH,513-771-2640
388,U,0,,,,,,,-84.470875,39.241308,1504 Springfld Pke,Wyoming,285,SUBWAY,1504 Springfld Pke,Wyoming,Wyoming,OH,513-821-9119
389,U,0,,,,,,,-84.248638,39.04944,1186 State Rt 125,Withamsville,337,TACO BELL,1186 State Rt 125,Withamsville,Withamsville,OH,513-753-0936
391,U,0,,,,,,,-84.238376,39.194191,US 28 Bypass & Old US 28,Milford,228,WHITE CASTLE SYSTEM INCORPORATED,US 28 Bypass & Old US 28,Milford,Mulberry,OH,513-831-0306
355,M,88.33,"801 E Central Ave, West Carrollton City, OH, 45449",West Carrollton City,OH,45449,StreetAddress,4684000008,-84.240512,39.677077,801 Central Av,West Carrollton,350,TACO BELL,801 Central Av,West Carrollton,West Carrollton,OH,937-859-1650
215,M,88.55,"1331 NW Washington Blvd, Hamilton, OH, 45013",Hamilton,OH,45013,StreetAddress,4684000009,-84.57827,39.423085,1331 Washngtn Blvd,Hamilton,43,MCDONALDS,1331 Washngtn Blvd,Hamilton,Hamilton,OH,513-795-6516
153,M,88.98,"North Bend Rd & Winton Rd, Cincinnati, OH, 45224",,,,StreetInt,,-84.520911,39.201359,North Bend & Winton Rds,Cincinnati,222,WHITE CASTLE SYSTEM INCORPORATED,North Bend & Winton Rds,Cincinnati,College Hill,OH,513-681-6747
5,M,89.04,"625 W Plane St, Bethel, OH, 45106",Bethel,OH,45106,StreetAddress,4684000000,-84.08495,38.963791,625 W Plane,Bethel,34,MCDONALDS,625 W Plane,Bethel,Bethel,OH,513-734-3466
6,M,89.04,"609 W Plane St, Bethel, OH, 45106",Bethel,OH,45106,StreetAddress,4684000000,-84.084875,38.963786,609 W Plane,Bethel,195,ARBYS ROAST BEEF RESTAURANTS,609 W Plane,Bethel,Bethel,OH,513-734-6864
24,T,89.04,"425 Walnut St, Cincinnati, OH, 45202",Cincinnati,OH,45202,StreetAddress,4684000015,-84.511219,39.100448,425 Walnut,Cincinnati,309,SUBWAY SANDWICHES SALADS,425 Walnut,Cincinnati,Downtown Cincinnati,OH,513-381-2212
33,M,89.04,"1003 Gest St, Cincinnati, OH, 45203",Cincinnati,OH,45203,StreetAddress,4684000015,-84.533036,39.106519,1003 Gest,Cincinnati,320,TACO BELL,1003 Gest,Cincinnati,Downtown Cincinnati,OH,513-241-8226
40,M,89.04,"1143 Saint Gregory St, Cincinnati, OH, 45202",Cincinnati,OH,45202,StreetAddress,4684000015,-84.497668,39.108715,1143 St Gregory,Cincinnati,297,SUBWAY HDQTERS OF GREATER CINCINNATI,1143 St Gregory,Cincinnati,Mt Adams,OH,513-421-2660
43,M,89.04,"580 Walnut St, Cincinnati, OH, 45202",Cincinnati,OH,45202,StreetAddress,4684000015,-84.511596,39.102544,580 Walnut,Cincinnati,325,TACO BELL,580 Walnut,Cincinnati,Downtown Cincinnati,OH,513-381-0144
68,M,89.04,"444 OH 125, Cincinnati, OH, 45255",Cincinnati,OH,45255,StreetAddress,4684000003,-84.3108,39.071731,444 State Rt 125,Cincinnati,361,CHIPOTLE MEXICAN GRILL,444 State Rt 125,Cincinnati,Cherry Grove,OH,513-528-0670
75,T,89.04,"522 Vine St, Cincinnati, OH, 45202",Cincinnati,OH,45202,StreetAddress,4684000015,-84.51306,39.101867,522 Vine,Cincinnati,365,CHIPOTLE MEXICAN GRILL,522 Vine,Cincinnati,Downtown Cincinnati,OH,513-579-9900
87,M,89.04,"1227 State Ave, Cincinnati, OH, 45204",Cincinnati,OH,45204,StreetAddress,4684000007,-84.551304,39.111068,1227 State Rt 125,Cincinnati,372,CHIPOTLE MEXICAN GRILL,1227 State Rt 125,Cincinnati,Pierce Township,OH,513-752-3444
89,M,89.04,"258 Stetson St, Cincinnati, OH, 45219",Cincinnati,OH,45219,StreetAddress,4684000015,-84.503471,39.134607,258 Stetson,Cincinnati,381,CHIPOTLE MEXICAN GRILL INCORPORATED,258 Stetson,Cincinnati,Corryville,OH,513-559-9300
92,M,89.04,"1015 Gest St, Cincinnati, OH, 45203",Cincinnati,OH,45203,StreetAddress,4684000015,-84.533196,39.106551,1015 Gest,Cincinnati,78,WENDYS OLD FASHIONED HAMBURGERS,1015 Gest,Cincinnati,Downtown Cincinnati,OH,513-241-2458
103,M,89.04,"1246 Hopple St, Cincinnati, OH, 45225",Cincinnati,OH,45225,StreetAddress,4684000018,-84.536522,39.137268,1246 Hopple,Cincinnati,89,WENDYS OLD FASHIONED HAMBURGERS,1246 Hopple,Cincinnati,Camp Washington,OH,513-681-0500
114,M,89.04,"580 Walnut St, Cincinnati, OH, 45202",Cincinnati,OH,45202,StreetAddress,4684000015,-84.511596,39.102544,580 Walnut,Cincinnati,113,STARBUCKS,580 Walnut,Cincinnati,Downtown Cincinnati,OH,513-381-1593
115,M,89.04,"580 Walnut St, Cincinnati, OH, 45202",Cincinnati,OH,45202,StreetAddress,4684000015,-84.511596,39.102544,580 Walnut,Cincinnati,114,STARBUCKS,580 Walnut,Cincinnati,Downtown Cincinnati,OH,513-381-2305
119,M,89.04,"449 OH 125, Cincinnati, OH, 45255",Cincinnati,OH,45255,StreetAddress,4684000003,-84.310568,39.071606,449 State Rt 125,Cincinnati,115,STARBUCKS,449 State Rt 125,Cincinnati,Cherry Grove,OH,513-528-0146
120,M,89.04,"201 OH 4, Cincinnati, OH, 45215",Cincinnati,OH,45215,StreetAddress,4684000007,-84.473246,39.222305,201 4th,Cincinnati,122,STARBUCKS COFFEE,201 4th,Cincinnati,Downtown Cincinnati,OH,513-241-4000
122,M,89.04,"401 Vine St, Cincinnati, OH, 45202",Cincinnati,OH,45202,StreetAddress,4684000015,-84.512716,39.099957,401 Vine,Cincinnati,123,STARBUCKS COFFEE,401 Vine,Cincinnati,Downtown Cincinnati,OH,513-929-0430
133,M,89.04,"512 OH 125, Cincinnati, OH, 45255",Cincinnati,OH,45255,StreetAddress,4684000000,-84.306728,39.071354,512 State Rt 125,Cincinnati,142,BURGER KING,512 State Rt 125,Cincinnati,Cherry Grove,OH,513-528-6320
158,M,89.04,"5680 Harrison Ave, Cincinnati, OH, 45248",Cincinnati,OH,45248,StreetAddress,4684000008,-84.636698,39.168641,5680 Harrison Rd,Cincinnati,190,ARBYS ROAST BEEF RESTAURANTS,5680 Harrison Rd,Cincinnati,Bridgetown,OH,513-574-0438
164,M,89.04,"6505 Harrison Ave, Dent, OH, 45247",Dent,OH,45247,StreetAddress,4684000007,-84.659106,39.192778,6505 Harrison Rd,Dent,73,WENDYS,6505 Harrison Rd,Dent,Dent,OH,513-598-1222
165,M,89.04,"6440 Harrison Ave, Dent, OH, 45247",Dent,OH,45247,StreetAddress,4684000007,-84.657576,39.191574,6440 Harrison Rd,Dent,367,CHIPOTLE MEXICAN GRILL,6440 Harrison Rd,Dent,Dent,OH,513-598-8200
169,M,89.04,"6590 Harrison Ave, Dent, OH, 45247",Dent,OH,45247,StreetAddress,4684000008,-84.660987,39.194493,6590 Harrison Rd,Dent,25,MCDONALDS,6590 Harrison Rd,Dent,Dent,OH,513-574-5402
174,M,89.04,"2552 Cunningham Rd, Evendale, OH, 45215",Evendale,OH,45215,StreetAddress,4684000018,-84.426712,39.253636,2552 Cunningham Dr,Evendale,362,CHIPOTLE MEXICAN GRILL,2552 Cunningham Dr,Evendale,Evendale,OH,513-554-0911
175,M,89.04,"2520 Cunningham Rd, Evendale, OH, 45215",Evendale,OH,45215,StreetAddress,4684000018,-84.426549,39.253955,2520 Cunningham Dr,Evendale,120,STARBUCKS COFFEE,2520 Cunningham Dr,Evendale,Evendale,OH,513-554-1120
211,M,89.04,"1560 Main St, Hamilton, OH, 45013",Hamilton,OH,45013,StreetAddress,4684000016,-84.598307,39.428225,1560 Main,Hamilton,296,SUBWAY FIVE SIX ONE THREE ONE,1560 Main,Hamilton,Hamilton,OH,513-737-1217
