Score,Match_type,Match_addr,neighborhood,MetroArea,long,lat,county,state,id,facilityname,city,zip,fedfunded,rhc,rural
97.59,A,"1 Mustang Trl, Lawrenceburg, Kentucky, 40342", , ,-84.90080536,38.03946631,Anderson County,KY,181004,ANDERSON COUNTY MIDDLE HEALTHY KIDS CLINIC,Lawrenceburg,40342,Yes,No,Yes
97.89,A,"278 Kenny Davis Blvd, Monticello, Kentucky, 42633", , ,-84.86227555,36.83092649,Wayne County,KY,181942,BELL ELEMENTARY HEALTHY KIDS CLINIC,Monticello,42633,Yes,No,Yes
98.04,A,"5310 Carnegie Ave, Cleveland, Ohio, 44103",Central, ,-81.65218097,41.50154162,Cuyahoga County,OH,361896,CARE ALLIANCE,Cleveland,44103,Yes,No,No
98,A,"2916 Central Ave, Cleveland, Ohio, 44115",Campus District, ,-81.66698749,41.49684146,Cuyahoga County,OH,361071,CARE ALLIANCE HEALTH CENTER,Cleveland,44115,Yes,No,No
98.11,A,"333 Conover Dr, Franklin, Ohio, 45005", , ,-84.27565796,39.55930116,Warren County,OH,361040,CENTERPOINT HEALTH,Franklin,45005,Yes,No,No
98,A,"1740 Langdon Farm Rd, Cincinnati, Ohio, 45237",Bond Hill,Cincinnati Metro Area,-84.46382693,39.1841441,Hamilton County,OH,361948,CINCINNATI HAMILTON COUNTY COMMUNITY ACTION AGENCY,Cincinnati,45237,Yes,No,No
97.91,A,"3909 Kok Rd, Willard, Ohio, 44890", , ,-82.7255115,41.01266548,Huron County,OH,361973,COMMUNITY HEALTH SERVICES - WILLARD,Willard,44890,Yes,No,Yes
80.17,A,"1009 N Main St, Hazard, Kentucky, 41701", , ,-83.19465507,37.25406618,Perry County,KY,181842,CORNER HAVEN CRISIS CENTER,Hazard,41702,Yes,No,Yes
97.68,A,"360 Keen St, Burkesville, Kentucky, 42717", , ,-85.3695105,36.78411069,Cumberland County,KY,181860,CUMBERLAND FAMILY MEDICAL CENTER INC,Burkesville,42717,Yes,No,Yes
98.39,A,"301 Professional Park Dr, Glasgow, Kentucky, 42141", , ,-85.89860871,37.00995667,Barren County,KY,181911,"CUMBERLAND FAMILY MEDICAL CENTER, INC",Glasgow,42141,Yes,No,Yes
97.69,A,"1620 E Main St, Cumberland, Kentucky, 40823", , ,-82.98004593,36.97478082,Harlan County,KY,181985,CUMBERLAND MEDICAL/DENTAL CLINIC,Cumberland,40823,Yes,No,Yes
98.33,A,"1032 E Market St, Warren, Ohio, 44483", , ,-80.80474997,41.23630751,Trumbull County,OH,361989,EAST MARKET STREET WARREN,Warren,44483,No,No,No
92.95,A,Elmwood Place Elementary School, ,Cincinnati Metro Area,-84.48801993,39.18750001,Hamilton County,OH,361933,ELMWOOD PLACE ELEMENTARY,Elmwood Place,45216,Yes,No,No
97.59,A,"1150 Bypass N, Lawrenceburg, Kentucky, 40342", , ,-84.91417088,38.0457322,Anderson County,KY,181001,EMMA B WARD ELEMENTARY HEALTHY KID CLINIC,Lawrenceburg,40342,Yes,No,Yes
97.89,A,"1436 S Shelby St, Louisville, Kentucky, 40217",Merriwether, ,-85.7417299,38.2268936,Jefferson County,KY,181817,FAMILY HEALTH CENTER SHELBY,Louisville,40217,Yes,No,No
93.21,A,"14590 State Route 93, Jackson, Ohio, 45640", , ,-82.62116734,39.02659604,Jackson County,OH,361882,FAMILY HEALTH CENTER-JACKSON,Jackson,45640,No,No,Yes
97.95,A,"702 N Main St, Arcanum, Ohio, 45304", , ,-84.55359527,39.99963527,Darke County,OH,361903,FAMILY HEALTH SERVICES OF DARKE COUNTY,Arcanum,45304,Yes,No,Yes
97.65,A,"10484 Kley Rd, Versailles, Ohio, 45380", , ,-84.46502901,40.22311517,Darke County,OH,361959,"FAMILY HEALTH SERVICES OF DARKE COUNTY, INC",Versailles,45380,Yes,No,Yes
0,M, , , ,-85.3071308,37.0980594,Adair County,KY,181940,ADAIR COUNTY PRIMARY HEALTHYKIDS CLINIC,Columbia,42728,Yes,No,Yes
98.51,A,"1400 S Arlington St, Akron, Ohio, 44306",Firestone Park, ,-81.49142886,41.03371807,Summit County,OH,361860,"AKRON COMMUNITY HEALTH RESOURCES, INC",Akron,44306,Yes,No,No
98.33,A,"360 Wilson Dr, Xenia, Ohio, 45385", , ,-83.92702536,39.69931786,Greene County,OH,361134,FIVE RIVERS HEALTH CENTERS,Xenia,45385,Yes,No,No
98.22,A,"121 Bishop St, Corbin, Kentucky, 40701", , ,-84.10291648,36.94427148,Whitley County,KY,181970,GRACE COMMUNITY HEALTH CENTER INC,Corbin,40701,Yes,No,Yes
98,A,"1075 N Washington St, Greenfield, Ohio, 45123", , ,-83.38677142,39.36178735,Highland County,OH,361808,GREENFIELD FAMILY HEALTH  CENTER,Greenfield,45123,Yes,No,Yes
97.97,A,"2020 Beechmont Ave, Cincinnati, Ohio, 45230",Mount Washington,Cincinnati Metro Area,-84.3863679,39.09062297,Hamilton County,OH,361024,HEALTH SOURCE/ MT WASHINGTON,Cincinnati,45230,Yes,No,No
97.88,A,"1487 N High St, Hillsboro, Ohio, 45133", , ,-83.61047763,39.23192375,Highland County,OH,361115,HIGHLAND HEALTH PROVIDERS CORP,Hillsboro,45133,Yes,No,Yes
98.37,A,"985 Gorge Blvd, Akron, Ohio, 44310",Chapel Hill, ,-81.499314,41.10393475,Summit County,OH,361127,INTERNATIONAL COMMUNITY,Akron,44310,Yes,No,No
98.11,A,"1833 Parsons Ave, Columbus, Ohio, 43207",Reeb-Hosack, ,-82.98439973,39.92562112,Franklin County,OH,361869,JOHN MALONEY SOUTHSIDE FAMILY CENTER,Columbus,43207,No,No,No
98.3,A,"3240 Irvin Cobb Dr, Paducah, Kentucky, 42003", , ,-88.56869948,37.05256771,McCracken County,KY,181913,KENTUCKYCARE 44,Paducah,42003,Yes,No,Yes
85.62,A,"10W Vanceburg Boat Ramp, Vanceburg, Kentucky, 41179", , ,-83.32322916,38.60393847,Lewis County,KY,181818,LEWIS  COUNTY PRIMARY CARE CENTER INC,Vanceburg,41179,No,No,Yes
97.74,A,"520 Elizaville Ave, Flemingsburg, Kentucky, 41041", , ,-83.74388025,38.42004911,Fleming County,KY,181844,LEWIS COUNTY PRIMARY CARE CENTER INC,Flemingsburg,41041,Yes,No,Yes
97.96,A,"650 Newtown Pike, Lexington, Kentucky, 40508",Georgetown, ,-84.49920082,38.06466457,Fayette County,KY,181812,LEXINGTON FAYETTE CO HEALTH DEPT,Lexington,40508,Yes,No,No
98.22,A,"3745 Grove Ave, Lorain, Ohio, 44055", , ,-82.11955625,41.43609701,Lorain County,OH,361885,LORAINE COUNTY HEALTH & DENTISTRY,Lorain,44055,No,No,No
98.04,A,"1251 W Broad St, Columbus, Ohio, 43222",Franklinton, ,-83.03395915,39.9581706,Franklin County,OH,361904,"LOWER LIGHTS CHRISTIAN HEALTH CENTER, INC",Columbus,43222,Yes,No,No
97.78,A,"130 Wayne Frye Dr, Manchester, Ohio, 45144", , ,-83.58852341,38.69388882,Adams County,OH,361050,MANCHESTER FAMILY HEALTH CENTER,Manchester,45144,Yes,No,Yes
97.86,A,"2750 Beekman St, Cincinnati, Ohio, 45225",English Woods,Cincinnati Metro Area,-84.54776042,39.13577273,Hamilton County,OH,361955,MILLVILLE AT HOPPLE HEALTH CENTER,Cincinnati,45225,Yes,No,No
97.93,A,"8146 Hamilton Ave, Cincinnati, Ohio, 45231", ,Cincinnati Metro Area,-84.54730811,39.242041,Hamilton County,OH,361932,MOUNT HEALTHY FAMILY PRACTICE,Cincinnati,45231,Yes,No,No
97.88,A,"1330 Clark St, Cambridge, Ohio, 43725", , ,-81.57690455,40.03938297,Guernsey County,OH,361084,MUSKINGUM VALLEY HEALTH CENTER,Cambridge,43725,Yes,No,Yes
98,A,"11709 Lorain Ave, Cleveland, Ohio, 44111",Jefferson, ,-81.76914146,41.46175733,Cuyahoga County,OH,361091,NEIGHBORHOOD FAMILY PRACTICE,Cleveland,44111,Yes,No,No
98.07,A,"3929 Rocky River Dr, Cleveland, Ohio, 44111",Kamm's Corners, ,-81.81733865,41.4481274,Cuyahoga County,OH,361048,NEIGHBORHOOD FAMILY PRACTICE,Cleveland,44111,Yes,No,No
97.92,A,"4800 Payne Ave, Cleveland, Ohio, 44103",Goodrich-Kirtland Park, ,-81.65337435,41.51216618,Cuyahoga County,OH,361028,NORTHEAST OHIO NEIGHBORHOOD HEALTH SERVICES INC,Cleveland,44103,Yes,No,No
98,A,"310 Hawthorne St, Princeton, Kentucky, 42445", , ,-87.87871447,37.10994587,Caldwell County,KY,181912,"PENNYROYAL HEALTHCARE SERVICES, INC",Princeton,42445,Yes,No,Yes
98.75,M,"9086 State Route 132 W, Clay, Kentucky, 42404", , ,-87.82025543,37.47655943,WEBSTER COUNTY,KY,181883,REGIONAL HEALTH CARE AFFILIATES INC,Clay,42404,Yes,No,Yes
97.69,A,"215 E Main St, Providence, Kentucky, 42450", , ,-87.75993234,37.39840998,Webster County,KY,181876,"REGIONAL HEALTH CARE AFFILIATES, INC",Providence,42450,Yes,No,Yes
97.89,A,"241 E Clifton Ave, Cincinnati, Ohio, 45202",Over-the-Rhine,Cincinnati Metro Area,-84.51238925,39.1141364,Hamilton County,OH,361089,ROTHENBERG PREPARATORY ACADEMY SBHC,Cincinnati,45202,Yes,No,No
97.69,A,"411 Gest St, Cincinnati, Ohio, 45203",West End,Cincinnati Metro Area,-84.5261749,39.09869346,Hamilton County,OH,361109,SHELTERHOUSE,Cincinnati,45203,Yes,No,No
97.85,A,"5410 Transportation Blvd, Cleveland, Ohio, 44125", , ,-81.61603903,41.41498744,Cuyahoga County,OH,361132,SIGNATURE HEALTH INC,Garfield Heights,44125,Yes,No,No
98.03,A,"55 Township Road 508 E, South Point, Ohio, 45680", , ,-82.5874885,38.44645649,Lawrence County,OH,361850,SOUTH POINT FAMILY MEDICAL CENTER,South Point,45680,No,Yes,No
94.38,A,St Bernard Elementary School, ,Cincinnati Metro Area,-84.49652007,39.16565004,Hamilton County,OH,361935,ST BERNARD ELEMENTARY,Saint Bernard,45217,Yes,No,No
97.73,A,"1040 Maysville Rd, Mount Sterling, Kentucky, 40353", , ,-83.94950491,38.08497838,Montgomery County,KY,181018,"STERLING HEALTH SOLUTIONS, INC",Mount Sterling,40353,Yes,No,Yes
97.66,A,"724 Woodford Dr, Mount Sterling, Kentucky, 40353", , ,-83.94062944,38.04517642,Montgomery County,KY,181020,"STERLING HEALTH SOLUTIONS, INC",Mount Sterling,40353,Yes,No,Yes
98.07,A,"12100 Superior Ave, Cleveland, Ohio, 44106",Glenville, ,-81.60124209,41.52298067,Cuyahoga County,OH,361836,SUPERIOR CENTER,Cleveland,44106,Yes,No,No
98.07,A,"2816 Veach Rd, Owensboro, Kentucky, 42303", , ,-87.10156504,37.74551285,Daviess County,KY,181964,THE NEEL CLINIC HEALTH FIRST,Owensboro,42303,Yes,No,No
98.17,A,"770 Balgreen Dr, Mansfield, Ohio, 44906", , ,-82.55362968,40.73879254,Richland County,OH,361960,THIRD STREET OB/GYN,Mansfield,44906,Yes,No,No
92.8,A,"870 US-42, Warsaw, Kentucky, 41095", , ,-84.88865468,38.78679602,Gallatin County,KY,181864,"TRIAD HEALTH SYSTEMS, INC",Warsaw,41095,Yes,No,No
98.57,A,"165 S Edwin C Moses Blvd, Dayton, Ohio, 45402",Five Points, ,-84.20635281,39.7537722,Montgomery County,OH,361978,VICTOR CASSANO HEALTH CENER,Dayton,45402,Yes,No,No
82.66,A,Washington Courthouse Municipal Ct, , ,-83.44034006,39.53612,Fayette County,OH,361853,WASHINGTON COURT HOUSE FAMILY HLTH CTR,Washington Court House,43160,Yes,No,Yes
85.71,A,"23030 OH-73, West Portsmouth, Ohio, 45663", , ,-83.01722502,38.76629861,Scioto County,OH,361874,WEST PORTSMOUTH FAMILY PRACTICE CENTER,Portsmouth,45663,No,No,Yes
98,A,"11652 Highway 52 E, Paint Lick, Kentucky, 40461", , ,-84.42283026,37.60231196,Garrard County,KY,181927,WHITE HOUSE CLINICS,Paint Lick,40461,Yes,No,Yes
98,A,"882 S Hamilton Rd, Columbus, Ohio, 43213", , ,-82.87657545,39.95796555,Franklin County,OH,361944,WHITEHALL FAMILY HEALTH CENTER,Whitehall,43213,Yes,No,No
98.26,A,"200 Harding Ave, Kenton, Ohio, 43326", , ,-83.59763674,40.65281958,Hardin County,OH,361116,WILDCAT HEALTH CENTER,Kenton,43326,Yes,No,Yes
97.74,A,"1019 Linn St, Cincinnati, Ohio, 45203",West End,Cincinnati Metro Area,-84.52810598,39.10640624,Hamilton County,OH,361950,WINMED CITY WEST,Cincinnati,45203,Yes,No,No
97.93,A,"39 Jim Hill Service Rd, Monticello, Kentucky, 42633", , ,-84.85710225,36.85054101,Wayne County,KY,181007,WOMENS CARE OF LAKE CUMBERLAND,Monticello,42633,Yes,No,Yes
97.89,A,"3132 Belmont Ave, Youngstown, Ohio, 44505", , ,-80.66554697,41.13936,Trumbull County,OH,361135,ACT CENTER FOR RECOVERY,Youngstown,44505,Yes,No,No
97.87,A,"526 Indian Dr, Columbia, Kentucky, 42728", , ,-85.33093759,37.10848006,Adair County,KY,181941,ADAIR COUNTY HIGH HEALTHY KIDS CLINIC,Columbia,42728,Yes,No,Yes
98.1,A,"819 3rd St, Albany, Kentucky, 42602", , ,-85.14136334,36.69772318,Clinton County,KY,181957,ALBANY ELEMENTARY HEALTHY KIDS CLINIC,Albany,42602,Yes,No,Yes
88.94,A,"Indian Dr, Columbia, Kentucky, 42728", , ,-85.32969706,37.10734332,Adair County,KY,181948,ADAIR COUNTY ELEMENTARY HEALTHY KIDS CLINIC,Columbia,42728,Yes,No,Yes
98.7,A,"676 S Broadway St, Akron, Ohio, 44311",Downtown Akron, ,-81.52457148,41.06673394,Summit County,OH,361057,AXESSPOINTE / AKRON GENERAL BROADWAY WH-IM,Akron,44311,Yes,No,No
98.1,A,"5 Alexandersville Rd, Miamisburg, Ohio, 45342", , ,-84.24364857,39.64053554,Montgomery County,OH,361026,ALEX CENTRAL HEALTH CENTER,Miamisburg,45342,Yes,No,No
97.91,A,"2924 Holt St, Ashland, Kentucky, 41101", , ,-82.64073442,38.46015492,Boyd County,KY,181921,ASHLAND FAMILY HEALTH CENTER,Ashland,41101,Yes,No,No
95,A,"5266 State Route 45, Rome, Ohio, 44085", , ,-80.86500574,41.60570417,Ashtabula County,OH,361962,ASHTABULA COMMUNITY HEALTH CENTER,Rome,44085,Yes,Yes,Yes
98.04,A,"151 N Eagle Creek Dr, Lexington, Kentucky, 40509", , ,-84.4399021,38.00074163,Fayette County,KY,181869,BLUEGRASS COMMUNITY HEALTH CENTER,Lexington,40509,No,No,No
98.15,A,"72 Buckhorn Clinic Rd, Buckhorn, Kentucky, 41721", , ,-83.47037681,37.34657974,Perry County,KY,181833,BUCKHORN MEDICAL CLINIC,Buckhorn,41721,No,No,Yes
97.92,A,"107 5th St SE, Barberton, Ohio, 44203", , ,-81.58994359,41.00725694,Summit County,OH,361013,BARBERTON CLINIC,Barberton,44203,Yes,No,No
98.39,A,"1551 Augusta Chatham Rd, Augusta, Kentucky, 41002", , ,-84.01489624,38.734695,Bracken County,KY,181878,BRACKEN COUNTY FAMILY HEALTH CENTER,Augusta,41002,No,No,No
97.72,A,"103 W Main St, Salineville, Ohio, 43945", , ,-80.84209486,40.62206249,Columbiana County,OH,361010,"CAA HEALTH, BEHAVIORAL HEALTH AND DENTAL CENTER",Salineville,43945,Yes,No,Yes
91.54,A,"13804 State Route 141, Kitts Hill, Ohio, 45645", , ,-82.49353611,38.59618706,Lawrence County,OH,361002,AID FAMILY MEDICAL CENTER,Kitts Hill,45645,Yes,No,No
98.04,A,"1306 Versailles Rd, Lexington, Kentucky, 40504", , ,-84.52242764,38.04978625,Fayette County,KY,181870,BLUEGRASS COMMUNITY HEALTH CENTER,Lexington,40504,Yes,No,No
98,A,"1510 California Ave, Cincinnati, Ohio, 45237",Bond Hill,Cincinnati Metro Area,-84.47166072,39.17607448,Hamilton County,OH,361951,BOND HILL ACADEMY ELEMENTARY,Cincinnati,45237,Yes,No,No
97.78,A,"621 Broadway St, Portsmouth, Ohio, 45662",4th Ward, ,-82.97443907,38.73480454,Scioto County,OH,361036,BROADWAY STREET CLINIC,Portsmouth,45662,Yes,No,Yes
97.54,A,"1 Bearcat Dr, Lawrenceburg, Kentucky, 40342", , ,-84.90938677,38.02315623,Anderson County,KY,181002,ANDERSON COUNTY HIGH HEALTHY KIDS CLINIC,Lawrenceburg,40342,No,No,Yes
98.17,A,"1530 Saint Clair Ave NE, Cleveland, Ohio, 44114",Avenue District, ,-81.68476973,41.50666711,Cuyahoga County,OH,361893,CARE ALLIANCE,Cleveland,44114,Yes,No,No
98,A,"2150 Agler Rd, Columbus, Ohio, 43224",Northeast Columbus, ,-82.95442897,40.0271145,Franklin County,OH,361889,CAPITAL PARK FAMILY HEALTH CENTER,Columbus,43224,No,No,No
0,M, , , ,-81.6868747,41.5046037,Cuyahoga County,OH,361895,CARE ALLIANCE,Cleveland,44114,Yes,No,No
98.16,A,"595 Bartson Rd, Fremont, Ohio, 43420", , ,-83.1534374,41.340402,Sandusky County,OH,361977,"CENTER FOR WOMEN'S HEALTH, THE",Fremont,43420,Yes,No,Yes
98.22,A,"136 W Center St, Marion, Ohio, 43302", , ,-83.12969342,40.58863651,Marion County,OH,361965,"CENTER STREET COMMUNITY CLINIC, INC",Marion,43302,Yes,No,Yes
97.95,M,"1673 E Ky 70, Liberty, Kentucky, 42539", , ,-84.9282422,37.31842857,CASEY COUNTY,KY,181951,CASEY COUNTY MIDDLE HEALTHY KIDS CLINIC,Liberty,42539,Yes,No,Yes
98.09,A,"376 Randolph St, Liberty, Kentucky, 42539", , ,-84.93893643,37.31151212,Casey County,KY,181932,CASEY FAMILY MEDICAL,Liberty,42539,Yes,No,Yes
98.13,A,"2245 Bauer Rd, Batavia, Ohio, 45103", ,Cincinnati Metro Area,-84.15233849,39.08225755,Clermont County,OH,361820,BATAVIA FAMILY PRACTICE/OB-GYN,Batavia,45103,Yes,No,No
98.25,A,"3820 Superior Ave E, Cleveland, Ohio, 44114",Goodrich-Kirtland Park, ,-81.66437919,41.51289144,Cuyahoga County,OH,361051,ASIA INTERNATIONAL COMMUNITY HEALTH CENTER,Cleveland,44114,Yes,No,No
97.93,A,"5051 Duck Creek Rd, Cincinnati, Ohio, 45227",Madisonville,Cincinnati Metro Area,-84.40776555,39.16465155,Hamilton County,OH,361110,CINCINNATI  HD - THE CHILDREN'S HOME OF CINCINNATI,Cincinnati,45227,Yes,No,No
97.59,A,"101 E Main St, Barnesville, Ohio, 43713", , ,-81.17708558,39.98784916,Belmont County,OH,361859,BARNESVILLE FAMILY HEALTH CENTER,Barnesville,43713,No,No,Yes
97.69,A,"717 3rd Ave, Chesapeake, Ohio, 45619", , ,-82.46047523,38.42718289,Lawrence County,OH,361851,CHESAPEAKE FAMILY MEDICAL CENTER,Chesapeake,45619,No,Yes,No
98.33,A,"700 Martin Luther King Jr Ave, Henderson, Kentucky, 42420", , ,-87.59056597,37.83042257,Henderson County,KY,181963,CABELL PLAT MEDICAL CENTER,Henderson,42420,No,No,No
97.86,A,"1036 S Verity Pkwy, Middletown, Ohio, 45044", ,Cincinnati Metro Area,-84.40854921,39.50550205,Butler County,OH,361911,BUTLER COUNTY COMMUNITY HEALTH CONSORTIUM INC,Middletown,45044,Yes,No,No
97.92,A,"1701 Payne Ave, Cleveland, Ohio, 44114",Playhouse Square, ,-81.68043049,41.504716,Cuyahoga County,OH,361899,CARE ALLIANCE,Cleveland,44114,Yes,No,No
98.43,A,"299 Cramer Creek Ct, Dublin, Ohio, 43017", , ,-83.12111989,40.08375559,Franklin County,OH,361064,CNHC DUBLIN,Dublin,43017,Yes,No,No
98.3,A,"10220 Dixie Beeline Hwy, Guthrie, Kentucky, 42234", , ,-87.19495103,36.64658753,Todd County,KY,181012,"COMMUNITY HEALTH CENTERS OF WESTERN KENTUCKY, INC",Guthrie,42234,Yes,No,Yes
97.93,A,"2516 W Madison St, Louisville, Kentucky, 40211",Russell, ,-85.79388618,38.25398566,Jefferson County,KY,181824,COMMUNITY HEALTH CTR OF W LOUISVILLE,Louisville,40211,Yes,No,No
98.63,A,"2020 E State St, Salem, Ohio, 44460", , ,-80.83293283,40.90096351,Columbiana County,OH,361979,COMMUNITY ACTION AGENCY BEHAVIORAL HEALTH SERVICES,Salem,44460,Yes,No,Yes
97.82,A,"231 N Breiel Blvd, Middletown, Ohio, 45042", , ,-84.35416603,39.51550013,Butler County,OH,361123,CENTERPOINT HEALTH,Middletown,45042,Yes,No,No
97.96,A,"5005 Euclid Ave, Cleveland, Ohio, 44103",Goodrich-Kirtland Park, ,-81.65384709,41.50405436,Cuyahoga County,OH,361897,CARE ALLIANCE,Cleveland,44103,Yes,No,No
98.04,A,"6601 Woodland Ave, Cleveland, Ohio, 44104",Central, ,-81.64424867,41.4881427,Cuyahoga County,OH,361894,CARE ALLIANCE,Cleveland,44104,Yes,No,No
97.76,A,"4879 US Highway 68 S, West Liberty, Ohio, 43357", , ,-83.76029584,40.29185802,Logan County,OH,361037,COMMUNITY HEALTH & WELLNESS PARTNERS OF LOGAN CO,West Liberty,43357,Yes,No,Yes
98.11,A,"407 Independence Dr, Napoleon, Ohio, 43545", , ,-84.11740928,41.41014154,Henry County,OH,361974,COMMUNITY HEALTH SERVICES - NAPOLEON,Napoleon,43545,Yes,No,Yes
97.86,A,"522 Maxwell Ave, Cincinnati, Ohio, 45219",Avondale,Cincinnati Metro Area,-84.49857108,39.13342048,Hamilton County,OH,361931,CONSUMER WELLNESS CENTER AT CCHB,Cincinnati,45219,Yes,No,No
97.86,A,"1501 Madison Rd, Cincinnati, Ohio, 45206",East Walnut Hills,Cincinnati Metro Area,-84.47903556,39.12981587,Hamilton County,OH,361929,CONSUMER WELLNESS CENTER AT GCBHS,Cincinnati,45206,Yes,No,No
